ovp,eng
tüsüga-noka uhuw̃a ui-w̃ui-ku ,They wrote those weasels.
kwana-deika taa ai-nia-gaa-wei ,You and I are going to read these smellers.
tsiipa-uu tübbi-neika ma-gwana-ku ,That bird smelled this rock.
küna-ii tuunapi-noka u-dsibui-gaa-wei ,This wood is going to climb that food.
tüwoobü-ii katü-peika a-gwana-wei ,This earth will smell the one who has sat.
nia-weidü-ii wo'ada-noka u-hibi-wei ,This one who will read will drink that mosquito.
yadohi-dü-ii hukaw̃ia-ti ,This one who talks to is walking.
naka-dü-uu wünü-ku ,That one who hears stood.
apo-ii ni-gwati-pü ,This cup has hit us.
nia-weidü-ii isha'pugu-neika ma-naka-dü ,This one who will read hears this dog.
mui-dü-uu apo-neika ai-w̃ui-ti ,That one who writes is writing these cups.
kwadzi-ii tabuutsi'-eika a-dama'i-pü ,This tail has found this cottontail.
nishua'i-dü uhu ,He/She/It laughs.
kwatsa'i-weidü-uu tsiipe'i-ti ,That one who will fall is chirping.
hukaw̃ia-weidü-uu nishua'i-weideika a-hibi-ti ,That one who will walk is drinking this one who will laugh.
wükihaa-dü-uu maishibü-neika ma-yadohi-ku ,That one who smiles talked to this corn.
waakü-weidü-uu tsiipe'i-ku ,That one who will work chirped.
kamü-uu katü-gaa-wei ,That jackrabbit is going to sit.
katü-weidü-ii hibi-doka u-naki-ti ,This one who will sit is chasing that one who drinks.
küna-ii tünia-dü ,This wood reads.
katünu-ii tüka-weideika a-w̃ui-gaa-wei ,This chair is going to write the one who will eat.
tüwoobü-ii payahuupü-neika ai-nia-pü ,This earth has read these rivers.
wükada-ii tsiipe'i-ku ,This bird snake chirped.
naki-weidoka ihi u-buni-pü ,This has seen that one who will chase.
aaponu'-uu hibi-weideika mai-dsibui-ku ,That apple climbed these ones who will drink.
sawa-pü-ii yotsi-deika ma-w̃ui-dü ,This one who has cooked writes this one who flies.
poyoha-dü-ii yotsi-dü ,This one who runs flies.
hibi-dü-uu kamü-neika a-naka-wei ,That one who drinks will hear this jackrabbit.
toyabi-ii hubiadu-ku ,This mountain sang.
katünu-uu mia-ku ,That chair went.
nüga-weidü-ii isha'-eika ma-gwati-pü ,This one who will dance has hit this coyote.
kidi'-uu hubiadu-deika mai-dsibui-dü ,That cat climbs these singers.
pugu-ii tümui-ti ,This horse is writing.
tübbi-ii waakü-ti ,This rock is working.
