ovp,eng
tabuutsi'-eika nüü ai-düka-wei ,I will eat the cottontails.
tüka-weideika uhu ai-buni-pü ,He/She/It has seen the ones who will eat.
katünu-noka uhuw̃a u-hibi-pü ,They have drunk that chair.
küna-neika mahu mai-naka-wei ,He/She/It will hear the woods.
wünü-weideika mahuw̃a mai-gwana-ku ,They smelled the stands.
kwana-weideika ihi a-gwati-ku ,This hit the smell that will come.
katünu-neika ihiw̃a a-yadohi-gaa-wei ,These are going to talk to this chair.
i-naki-gaa-wei taa ,You and I are going to chase me.
tümui-doka nüügwa u-dsibui-pü ,We have climbed that one who writes.
katü-deika taagwa ma-zawa-ti ,We are cooking while sitting.
katünu-noka üü ui-dama'i-pü ,You have found those chairs.
tüwoobü-noka üügwa ui-nia-ti ,You all are reading those earths.
isha'-ii toni-noka u-w̃ui-ti ,The coyote is writing the wickiup.
isha'pugu-ii pasohobü-noka ui-nobini-pü ,The dog has visited those trees.
kidi'-ii katü-ku ,The cat sat.
pugu-uu üwi-pü ,The horse is sleeping.
wai-ii kwisha'i-dü ,The rice is sneezing.
tüba-ii poyoha-pü ,The pinenuts have run.
maishibü-uu mia-wei ,That corn will go.
paya-ii hukaw̃ia-ku ,The water walked.
payahuupü-ii wünü-dü ,The river stands.
katünu-ii habi-gaa-wei ,This chair is going to lie down.
toyabi-ii yadoha-ku ,The mountain talked.
tuunapi-ii kwatsa'i-dü ,The food is falling.
pasohobü-ii waakü-ku ,The tree worked.
nobi-uu wükihaa-dü ,That house smiles.
toni-ii hubiadu-dü ,This wickiup sings.
apo-ii nishua'i-ku ,The cup laughed.
küna-ii tünia-weidoka u-dsibui-wei ,This wood will climb that one who will read.
tübbi-ii tübinohi-ti ,The rock is playing.
tabuutsi'-uu yotsi-ti ,That cottontail is flying.
kamü-ii nüga-gaa-wei ,The jackrabbit is going to dance.
aaponu'-ii pahabi-wei ,The apple will swim.
tüsüga-uu tünia-pü ,That weasel has read.
mukita-uu tümui-ku ,The lizard wrote.
wo'ada-ii tsiipe'i-gaa-wei ,The mosquito is going to chirp.
wükada-ii aaponu'-eika ai-düka-wei ,This bird snake will eat these apples.
wo'abi-ii kwana-weidoka ui-buni-ti ,This worm is seeing those smells.
aingwü-ii tümui-weidoka ui-hibi-pü ,The squirrel has drunk those who will write.
tsiipa-ii nobini-doka ui-naka-wei ,This bird will hear those who visit.
tüwoobü-ii tsiipe'i-weideika ai-gwana-gaa-wei ,The earth is going to smell the chirps.
koopi'-ii toni-noka ui-gwati-pü ,Coffee has hit those wickiups.
pahabichi-ii hukaw̃ia-doka u-yadohi-ku ,The bear talked to the one who walks.
pagwi-uu kwati-deika ai-naki-ti ,Those fish are chasing these ones that hit.
kwadzi-ii tüsüga-neika ma-dsibui-ti ,The tail is climbing the weasel.
tüka-dü-ii aingwü-noka ui-zawa-gaa-wei ,This one who eats is going to cook those squirrels.
puni-weidü-ii tünia-weidoka u-dama'i-wei ,The one who will see will find the one who will read.
hibi-dü-uu kwisha'i-deika a-nia-ku ,The one who drinks read the one who sneezes.
naka-weidü-uu tama'i-weideika mai-w̃ui-dü ,That one who will hear writes those who will find.
kwana-weidü-uu tümui-weidoka u-nobini-wei ,That one who will smell will visit that one who will write.
kwati-dü-uu katü-gaa-wei ,That one who hits is going to sit.
yadohi-weidü-ii üwi-dü ,This one who will talk to sleeps.
naki-weidü-ii kwisha'i-ku ,The one who will chase sneezed.
tsibui-dü-uu poyoha-ku ,That one who climbs ran.
sawa-weidü-uu mia-wei ,That cook will go.
tama'i-weidü-ii hukaw̃ia-gaa-wei ,This one who will find is going to walk.
nia-dü-ii wünü-wei ,This one who reads will stand.
mui-dü-uu habi-ti ,That one who writes is lying down.
nobini-weidü-ii yadoha-gaa-wei ,The one who will visit is going to talk.
katü-dü-ii kwatsa'i-dü ,The one who is sitting falls.
üwi-weidü-ii waakü-pü ,The one who will sleep has worked.
kwisha'i-dü-ii wükihaa-pü ,The one who sneezes has smiled.
poyoha-weidü-uu hubiadu-pü ,That one who will run has sung.
mia-dü-ii nishua'i-wei ,The one who goes will laugh.
hukaw̃ia-dü-ii nobi-noka ui-dsibui-wei ,This one who walks will climb those houses.
wünü-dü-ii tübinohi-ti ,The one who is standing is playing.
habi-dü-uu yotsi-dü ,That one who is lying down flies.
yadoha-dü-ii nüga-ti ,The one who talks is dancing.
kwatsa'i-weidü-ii pahabi-ku ,The one who will fall swam.
waakü-weidü-ii tünia-pü ,The one who will work has read.
wükihaa-dü-uu tümui-gaa-wei ,That smile is going to write.
hubiadu-dü-uu tsiipe'i-dü ,That one who sings chirps.
nishua'i-dü-ii hukaw̃ia-weideika ai-düka-gaa-wei ,This one who laughs is going to eat those who will walk.
tsibui-weidü-ii pagwi-neika ma-buni-ti ,The one who will climb is seeing the fish.
tübinohi-dü-uu hukaw̃ia-doka u-hibi-ti ,Those who are playing are drinking those who are walking.
