sentence                                        ,translation                                   ,label
tei-zawa-ku ihi                                 ,This cooked us.                               ,    1
isha'-uu tüba-neika ai-hibi-pü                  ,That coyote has drunk these pinenuts.         ,    1
tüba-uu tsibui-dü                               ,Those pinenuts climb.                         ,    1
ta-w̃ui-gaa-wei mahuw̃a                           ,"They are going to write to us, you and I."   ,    1
wo'ada-uu aaponu'-oka u-zawa-ti                 ,The mosquito is cooking the apple.            ,    1
tübbi-uu tüwoobü-neika a-yadohi-pü              ,The rock has talked to the earth.             ,    1
payahuupü-uu katü-ti                            ,That river is sitting.                        ,    1
kwisha'i-wei üü                                 ,You will sneeze.                              ,    1
isha'-ii tübbi-neika mai-w̃ui-gaa-wei            ,This coyote is going to write these rocks.    ,    1
toni-uu wünü-ti                                 ,The wickiup is standing.                      ,    1
isha'pugu-neika ihi mai-dama'i-ku               ,This found these dogs.                        ,    1
wo'ada-neika ihi mai-dama'i-gaa-wei             ,This will find these mosquitoes.              ,    1
tabuutsi'-uu tüba-noka u-buni-ku                ,The cottontail saw those pinenuts.            ,    1
maishibü-neika uhu ai-nia-ti                    ,He/she/it is reading these corn.              ,    1
koopi'-ii wükada-noka ui-nia-ku                 ,This coffee read those bird snakes.           ,    1
tuunapi-uu waakü-pü                             ,That food has worked.                         ,    1 
katünu-ii koopi'-oka ui-nobini-wei              ,This chair will visit those coffees.          ,    1
aingwü-neika mahu ma-nia-dü                     ,He/she/it reads the squirrel.                 ,    1
maishibü-uu wükihaa-gaa-wei                     ,That corn is going to smile.                  ,    1
isha'-uu isha'-oka ui-zawa-wei                  ,That coyote will cook those coyotes.          ,    1
aingwü-ii tsibui-dü                             ,This squirrel climbs.                         ,    1
katünu-ii tübbi-neika ma-buni-wei               ,This chair will see this rock.                ,    1
wükada-uu tsibui-ku                             ,The bird snake climbed.                       ,    1
wo'ada-uu paya-neika ma-hibi-ti                 ,The mosquito is drinking the water.           ,    1
pagwi-neika mahu ma-w̃ui-pü                      ,He/she/it has written/is writing this fish.   ,    1
tabuutsi'-uu isha'pugu-neika mai-nobini-gaa-wei ,That cottontail is going to visit those dogs. ,    1
paya-neika mahu mai-hibi-gaa-wei                ,He/she/it is going to drink this water.       ,    1
nishua'i-pü nüü                                 ,I am laughing.                                ,    1
aaponu'-ii küna-neika a-düka-pü                 ,This apple has eaten this wood.               ,    1
katü-dü uhu                                     ,He/she/it sits.                               ,    1
mukita-uu isha'pugu-noka u-naki-ti              ,The lizard is chasing the dog.                ,    1
isha'-oka üü ui-dama'i-ku                       ,You found those coyotes.                      ,    1
